"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","0703d9e1462f9de372465d6e32e8a27d",3637,360,640,227.28663,2500.15286,0.09398,1,0,2.9394,2.9394,98.69422,753.71901,0.44604
"f","ea519105b43d50a3ca3cba627a755510",250,360,640,130.21463,260.42925,0.62606,1,1,1,1,9,992.25,-1
"f","fcafb45fd3eda8100cfc558dfe9ba987",846.71429,360,640,123.43031,3456.04859,0.24409,1,0,0,0,501.95409,7796.07526,-0.25607
"f","8d3933d1a04dc4fb821ed0340b1063a8",262.54546,360,640,118.08661,2597.90522,0.50617,1,0,5.31242,5.31242,21.48967,3686.41323,0.04531
"f","0703d9e1462f9de372465d6e32e8a27d",1258.40001,360,640,384.46805,1922.34021,0.5616,1,0,5.93334,5.93334,263.36,4527.76,0.11708
"f","a1a857b5b06e372f9c815718ac340077",417.5,640,360,155.01007,620.04026,0.3709,1,0,0.6875,0.6875,1096,1484.25,-0.8499
"f","8d3933d1a04dc4fb821ed0340b1063a8",333.4,360,640,131.91839,659.59194,0.56208,1,0,3.29643,3.29643,57.76,972.56001,0.13738
"f","8d3933d1a04dc4fb821ed0340b1063a8",1038.33334,360,640,256.19775,2305.7797,0.3873,1,0,6.29873,6.29873,70.24692,2526.88889,-0.12307
"f","8c47753e45070e4943f563a1d0ab5c1d",390.5,360,640,235.21382,1411.28289,0.88788,1,0,1.54,1.70649,174.25,1958.25,0.63755
"f","8d3933d1a04dc4fb821ed0340b1063a8",256.19513,360,640,65.8375,2699.33712,0.45826,1,0,0,0,169.18977,1668.64486,0.08055
"f","3183f6f7626d168628851a35bd2de577",524,320,570,185.45375,2225.44499,0.31443,1,0,0.31402,0.31402,355.22223,1731.85417,0.03209
"f","8c47753e45070e4943f563a1d0ab5c1d",493.04445,360,640,92.98574,8368.71596,0.26285,1,0,1.02112,1.28195,775.62914,2303.5921,-0.15941
"f","8c47753e45070e4943f563a1d0ab5c1d",1071.58621,360,640,51.08806,1481.55349,0.07222,1,0,1.46393,1.74811,530.07373,4761.0987,-0.02677
"f","8d3933d1a04dc4fb821ed0340b1063a8",670.8,360,640,271.70907,1358.54532,0.35547,1,0,15.18353,15.18353,3145.04001,8770.4,0.88584
"f","723c6f41ec7022d79b3f21a1ee8b4963",488.25,360,640,261.86808,1047.4723,0.62876,1,0,0.9375,1.0625,170.6875,402.6875,0.98433
"f","e2731596e61e854d401fbeabdec5bf54",336.83334,600,1024,77.70924,932.51088,0.23532,1,1,0.49935,0.49935,365,2204.66667,-0.00566
"f","8d3933d1a04dc4fb821ed0340b1063a8",952.64103,360,640,156.14232,6089.5503,0.22316,1,0.05129,10.78318,10.78318,16326.13018,2861.49639,0.16057
"f","9c960c8e28004bd5a05eefd2a29f1dfe",1261.66038,360,640,109.35928,5796.04149,0.10997,1,0.8868,0.54717,0.54717,16686.0356,5999.75721,0.13767
"f","8c47753e45070e4943f563a1d0ab5c1d",1253,360,640,128.72571,1544.70841,0.13421,1,0,1.45676,1.70649,267.90973,5067.6875,-0.40781
"f","fcafb45fd3eda8100cfc558dfe9ba987",1815.08334,360,640,179.28791,2151.45481,0.13294,1,0,0,0,492.07639,1288.40973,-0.8086
"f","8d3933d1a04dc4fb821ed0340b1063a8",1225.66667,360,640,203.01064,1218.06381,0.21228,1,0,4.78648,4.78648,375.22223,360.25,0.16229
"f","e45faa6a06163a79f892886141473993",438.44445,320,570,247.55318,4455.9572,0.44555,1,0,0.3328,0.3328,1291.33334,8904.16359,0.557
"f","0703d9e1462f9de372465d6e32e8a27d",381.2174,360,640,254.29492,5848.78314,0.79636,1,0,3.97102,3.97102,635.58413,1895.14934,0.13559
"f","e2731596e61e854d401fbeabdec5bf54",178,1024,600,68.88819,1171.0992,0.38444,1,1,0.49935,0.49935,213.85468,1272.29066,-0.9734
"f","8c47753e45070e4943f563a1d0ab5c1d",490.83334,360,640,109.78931,3293.67922,0.34835,1,0,1.17373,1.35687,1202.10667,7250.92889,0.39321
"f","48e06318776abcebfed529fe58ad2fcf",849.90323,360,720,84.9967,5269.79529,0.30788,0.01436,0,0,0,234.40999,2636.55802,-0.48114
"f","48e06318776abcebfed529fe58ad2fcf",559.9149,360,720,71.77012,6746.39056,0.23427,0.01014,0,0,0,78.84745,1862.55003,-0.08558
"f","8d3933d1a04dc4fb821ed0340b1063a8",839.54717,360,640,115.88354,12283.65446,0.16791,1,0,7.1432,7.1432,685.69563,3482.66074,-0.00585
"f","58cda9784e306b50aebf68c79eab7414",679.375,360,640,104.9685,2519.24388,0.24812,1,0,4.26621,4.26621,251.41494,2802.4375,-0.28074
"f","10ee042a14d0a9cc413e2412fad579c9",188.66667,412,732,80.51161,483.06963,0.45127,1,0,0.38096,0.57143,134.66667,200.47223,-0.52543
"f","8c47753e45070e4943f563a1d0ab5c1d",704.75,360,640,65.00259,5980.23789,0.3689,1,0.11957,1.76982,2.8746,9697.21362,9961.14119,-0.35686
"f","3982e38e1040697a280b9ccb9d3a4204",2724.71429,360,640,233.83368,3273.67139,0.27072,1,0,0,0,902.59694,7548.92347,-0.57446
"f","48e06318776abcebfed529fe58ad2fcf",385.09091,360,720,137.83092,4548.42033,0.39245,0.01284,0,0,0,5400.18917,4960.75666,-0.24035
"f","8c47753e45070e4943f563a1d0ab5c1d",400.05556,320,569,117.49182,2114.85271,0.30156,1,0,1.08525,1.20857,349.7284,1189.98766,0.03278
"f","8c47753e45070e4943f563a1d0ab5c1d",175.5,360,640,44.23391,265.40346,0.26244,1,0,1.33189,1.45676,211.22223,981.91667,-0.45233
"f","a1a857b5b06e372f9c815718ac340077",178.4,360,640,50.6711,253.35547,0.28558,1,0,0.8,0.8,49.04001,189.2,0.91566
"f","8d3933d1a04dc4fb821ed0340b1063a8",108.9091,360,640,84.34324,927.77556,0.4428,1,0,0,0,115.35538,104.18182,-0.78282
"f","8d3933d1a04dc4fb821ed0340b1063a8",257,360,640,55.66629,612.3291,0.2231,1,0,0,0,64.26447,317.5372,-0.91316
"f","0703d9e1462f9de372465d6e32e8a27d",0,360,640,187.45933,374.91866,0,1,0,1.33334,1.33334,0,0,nan
"f","f396ec80b60ca6a34d854a4ec2a534b6",92.2,360,640,156.92099,784.60491,0.21001,1,1,4.99459,4.99459,70.64001,137.2,-0.86747
"f","1b5f967569dc228c1f5ba7e2bc1f526a",257.16667,360,640,126.54637,759.27821,0.54538,1,1,4.12053,4.12053,236.80556,1907.13889,-0.67213
"f","fcafb45fd3eda8100cfc558dfe9ba987",1134.38889,398.88889,601.11112,146.88797,5287.96671,0.42045,1,0.02778,3.05798,3.05798,1976.82099,10754.63195,-0.04706
"f","48e06318776abcebfed529fe58ad2fcf",316.76812,360,720,115.33958,7958.43076,0.41533,0.00648,0,0,0,4675.65638,3711.62739,0.15821
"f","58cda9784e306b50aebf68c79eab7414",756.0625,360,640,77.15078,1234.41238,0.10438,1,0,10.16086,10.16086,767.90235,2166.1836,-0.72932
"f","27fa5f07c3524c73cb9eb3049153ec0e",1200.66667,360,720,337.22278,2023.33668,0.31011,0.11438,0,0,0,155.13889,26784.88889,-0.37563
"f","fcafb45fd3eda8100cfc558dfe9ba987",733.66667,360,640,108.62514,1303.50161,0.17638,1,0,0,0,375.24306,881.80556,-0.58814
"f","8d3933d1a04dc4fb821ed0340b1063a8",1439.36112,360,640,159.77151,5751.77431,0.15816,1,0,5.60503,5.60503,27686.90433,4606.69368,-0.16281
"f","8c47753e45070e4943f563a1d0ab5c1d",268.83334,360,640,176.52855,1059.17127,0.62052,1,0,1.04054,1.37351,3688.88889,8786.22223,-0.27494
"f","9c960c8e28004bd5a05eefd2a29f1dfe",410,360,640,106.94038,641.64225,0.13963,1,0,0.83334,0.83334,64.33334,487.22223,-0.5893
"f","9c960c8e28004bd5a05eefd2a29f1dfe",311.52381,360,640,69.66417,1462.94753,0.37758,1,1,0.60715,0.60715,171.84127,3048.37189,0.71338
"f","8c47753e45070e4943f563a1d0ab5c1d",258.05556,360,640,53.60375,964.8675,0.30404,1,0,0.9573,1.33189,70.46914,1964.38581,-0.09654
"f","58cda9784e306b50aebf68c79eab7414",1652.65218,360,640,123.99418,2851.86592,0.12122,1,0,11.09666,11.09666,101.17203,670.94518,0.09021
"f","0703d9e1462f9de372465d6e32e8a27d",654.5,360,640,125.62348,753.74084,0.18214,1,0,2.11112,2.11112,219.80556,1008.88889,-0.68224
"f","2e658c07bfc2c6486041f16805960d19",785.09524,320,570,88.30016,1854.30332,0.34435,1,1,0.3328,0.3328,224.9025,15865.29706,0.01772
"f","3183f6f7626d168628851a35bd2de577",303,320,570,239.37573,2872.50868,0.54908,1,0,0.3328,0.3328,2534.24306,634.07639,0.32187
"f","48e06318776abcebfed529fe58ad2fcf",231.33334,360,720,151.30175,907.81047,0.65294,0.00393,0,0,0,167.22223,187.80556,-0.94768
"f","8d3933d1a04dc4fb821ed0340b1063a8",572.6875,360,640,70.21909,3370.51607,0.18728,1,0,0,0,383.06207,1814.23438,-0.15516
"f","8d3933d1a04dc4fb821ed0340b1063a8",285.39691,360,640,81.9356,15895.5058,0.35765,1,0,5.84547,5.84547,12636.07908,6375.25744,0.67141
"f","58cda9784e306b50aebf68c79eab7414",222.125,360,640,73.20294,585.6235,0.25881,1,0,4.27661,4.27661,161.23438,172.85938,-0.50268
"f","8c47753e45070e4943f563a1d0ab5c1d",199,360,640,52.30349,261.51741,0.27698,1,0,1.34854,1.49838,165.2,835.36001,-0.39301
"f","a1a857b5b06e372f9c815718ac340077",1635,360,640,183.59639,550.78915,0.13071,1,0,0.5,0.5,14.88889,560.22223,0.54139
"f","8d3933d1a04dc4fb821ed0340b1063a8",185,360,640,77.64664,77.64664,0.41972,1,0,0,0,0,0,nan
"f","8d3933d1a04dc4fb821ed0340b1063a8",289.92895,525.78948,474.21053,49.71936,18893.35499,0.18294,1,0,4.41364,4.41364,21545.16019,12084.38252,0.31358
"f","3183f6f7626d168628851a35bd2de577",381.83334,320,570,228.1542,1368.92517,0.82391,1,0,0.3328,0.3328,48.47223,602.88889,0.25024
"f","10ee042a14d0a9cc413e2412fad579c9",217.4,412,732,174.69139,873.45692,1.26994,1,0,0.38096,0.72381,74.64001,838.16001,0.21062
"f","8c47753e45070e4943f563a1d0ab5c1d",284.60001,360,640,118.02944,590.14719,0.64166,1,0,0.99892,1.1987,309.76,551.76001,-0.52741
"f","8c47753e45070e4943f563a1d0ab5c1d",1249.625,360,640,196.78657,4722.87748,0.17729,1,0,1.15483,1.35522,9505.10417,5633.78994,0.36527
"f","fcafb45fd3eda8100cfc558dfe9ba987",701,360,640,103.04,5564.15994,0.18507,1,0,0,0,126.83402,805.83711,0.214
"f","8d3933d1a04dc4fb821ed0340b1063a8",246.575,360,640,69.16846,8300.21407,0.26904,1,0,5.06742,5.06742,488.84556,860.54889,-0.21812
"f","1b5f967569dc228c1f5ba7e2bc1f526a",220.2,360,640,96.11316,480.56578,0.48356,1,1,4.99459,4.99459,35.6,466.96001,-0.80196
