"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","8c47753e45070e4943f563a1d0ab5c1d",258.05556,360,640,53.60375,964.8675,0.30404,1,0,0.9573,1.33189,70.46914,1964.38581,-0.09654
"f","48e06318776abcebfed529fe58ad2fcf",367.8,360,720,103.03863,515.19314,0.08755,0.01099,0,0,0,222.96,1431.84,0.30562
"f","48e06318776abcebfed529fe58ad2fcf",231.33334,360,720,151.30175,907.81047,0.65294,0.00393,0,0,0,167.22223,187.80556,-0.94768
"f","8d3933d1a04dc4fb821ed0340b1063a8",1488.38889,360,640,204.26164,3676.70945,0.20661,1,0,7.75548,7.75548,52.83951,481.13581,0.26926
"f","58cda9784e306b50aebf68c79eab7414",756.0625,360,640,77.15078,1234.41238,0.10438,1,0,10.16086,10.16086,767.90235,2166.1836,-0.72932
"f","8d3933d1a04dc4fb821ed0340b1063a8",282,360,640,102.59738,718.18165,0.39797,1,0,4.42378,4.42378,30.20409,333.14286,-0.89008
"f","fcafb45fd3eda8100cfc558dfe9ba987",259.6875,360,640,214.3108,3428.97269,0.91533,1,0,0,0,399.8711,541.35938,0.10174
"f","ca447ef6847a8593a4530b41066d365e",1503,360,640,117.57391,1410.88682,0.1478,1,0,4.37184,4.37184,304.74306,418.97223,0.53388
"f","1b5f967569dc228c1f5ba7e2bc1f526a",258.75,360,640,138.83032,1665.96375,0.50413,1,1,5.34837,5.34837,343.41667,4162.58334,0.71365
"f","48e06318776abcebfed529fe58ad2fcf",1819,360,720,191.12047,382.24094,0.13338,0.01765,0,0,0,552.25,25,-1
"f","58cda9784e306b50aebf68c79eab7414",1652.65218,360,640,123.99418,2851.86592,0.12122,1,0,11.09666,11.09666,101.17203,670.94518,0.09021
"f","58cda9784e306b50aebf68c79eab7414",214.33334,360,640,96.70175,1740.63133,0.39272,1,0,12.05637,12.05637,600.61729,2286.65433,0.102
"f","0703d9e1462f9de372465d6e32e8a27d",703.18182,360,640,286.92252,3156.14769,0.3914,1,0,2.63637,2.63637,251.17356,1030.44629,0.08937
"f","48e06318776abcebfed529fe58ad2fcf",190.29412,360,720,99.67066,1694.40121,0.51202,0.01246,0,0,0,406.73357,17557.61938,-0.23105
"f","8d3933d1a04dc4fb821ed0340b1063a8",552.38889,360,640,93.60053,3369.61877,0.2348,1,0,4.52288,4.52288,127.14507,913.02701,-0.58107
"f","58cda9784e306b50aebf68c79eab7414",618.81819,360,640,94.03783,1034.41606,0.1141,1,0,7.26485,7.26485,95.47108,253.28926,-0.21619
"f","ea519105b43d50a3ca3cba627a755510",731.41667,360,640,168.092,2017.10392,0.31501,1,1,0.45834,0.45834,808.55556,1263.05556,-0.69905
"f","e45faa6a06163a79f892886141473993",861.66667,320,570,313.33946,1880.03675,0.37346,1,0,0.3328,0.3328,47.55556,12287,0.8124
