"Class","Fingerprint","PostId","TimeUp","SWidth","SHeight","ScreenX","ScreenXUp","ScreenY","ScreenYUp","Force","ForceUp","RadiusX","RadiusY"
"f","1558376879126121863",1169490,0,360,749,251,320,507,678,1,0,0.33310502767562866,0.33310502767562866
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,0,320,568,284,257,3177,3256,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,662,360,780,256,337,483,158,2.669999837875366,0,27.5,25
"f","00feb567589f946eda1fe958e86693e2",1169490,219,360,640,335,351,411,374,0.16862745583057404,0,0,0
"f","1558376879126121863",1169490,149,360,749,185,280,653,480,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,956,320,568,301,306,4545,4533,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,64,360,780,283,280,496,350,2.5399999618530273,0,25,27.5
"f","00feb567589f946eda1fe958e86693e2",1169490,538,360,640,287,322,452,398,0.1098039299249649,0,0,0
"f","1558376879126121863",1169490,269,360,749,203,280,545,286,1,0,0.6662100553512573,0.6662100553512573
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,152,320,568,280,287,4124,4074,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,193,360,780,309,315,483,460,1.9499999284744263,0,25,20
"f","00feb567589f946eda1fe958e86693e2",1169490,81,360,640,305,341,514,407,0.13725490868091583,0,0,0
"f","1558376879126121863",1169490,119,360,749,305,221,342,626,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,479,320,568,271,278,4000,3990,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,59,360,780,253,236,236,374,3.9599997997283936,0,32.5,30
"f","00feb567589f946eda1fe958e86693e2",1169490,0,360,640,94,85,307,456,0.18431372940540314,0,0,0
"f","1558376879126121863",1169490,310,360,749,236,349,647,422,1,0,0.16655251383781433,0.16655251383781433
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,438,320,568,290,299,4560,4544,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,96,360,780,300,297,574,507,1.75,0,22.5,27.5
"f","00feb567589f946eda1fe958e86693e2",1169490,339,360,640,316,331,412,387,0.16470588743686676,0,0,0
"f","1558376879126121863",1169490,113,360,749,329,215,296,554,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,467,320,568,284,300,4441,4431,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,453,360,780,277,275,414,378,2.109999895095825,0,25,27.5
"f","00feb567589f946eda1fe958e86693e2",1169490,0,360,640,94,85,307,456,0.18431372940540314,0,0,0
"f","1558376879126121863",1169490,908,360,749,245,321,581,198,1,0,0.4996574819087982,0.4996574819087982
