"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY"
"f","6b8fbc70620fe6fbf126f8843d2b5659",279.5,360,780,107.25699,1930.62582,1.034,2.25723,0,26.80556,25.41667,601.28396,6339.28396
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",557.6875,320,568,36.51736,584.27771,0.09047,0,0,27.12011,27.12011,690.35938,231961.0625
"f","c17c7e4503d644d48e4149d50b742a82",245.66667,375,667,41.80774,250.84639,0.19758,0,0.03167,44.88667,44.88667,1275.58334,153542.80556
"f","1558376879126121863",368.16667,360,749,220.92545,2651.1054,0.94811,1,0,0.45802,0.45802,2427.16667,13905.30556
"f","00feb567589f946eda1fe958e86693e2",284.70589,360,640,147.34716,2504.9017,0.41212,0.14257,0,0,0,14559.1834,5225.6609
"f","322061f16e1b5803cab36394f9f9c9de",791.64706,320,568,127.86293,2173.66967,0.61829,0,0,33.03399,33.03399,538.24914,240837.97232
"f","1557811114505039991",354.63637,360,760,108.3217,1191.53861,0.47147,0.05633,0,0,0,38.38017,1668.77686
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",649.28572,320,568,51.44796,720.27137,0.23345,0,0,30.08252,30.08252,6309.25,761192.67347
"f","72b7ccbe2da3a6f7889acba3e7b401d4",1385.66667,360,720,134.45475,806.7285,0.17217,0.00393,0,0,0,542.25,6318.58334
"f","77855fed15a8f0b4ecf05bb058c35a16",368.33334,360,749,220.92545,2651.1054,0.94724,1,0,0.45802,0.45802,2427.16667,13905.30556
"m","98335e9192e31111a8ba0cf2782eddc5",130.58334,320,568,24.84255,298.11058,0.18871,0,0,34.03528,34.03528,1792.22223,711243.88889
"m","fc56601fd2b8208d87e83d9e27b676c2",480.66667,320,568,279.88058,839.64173,0.8963,1,0,11.5,11.5,4.66667,1030.22223
"m","98335e9192e31111a8ba0cf2782eddc5",170.75,320,568,24.74573,296.94869,0.14091,0,0,36.16303,36.16303,2982.22223,2301841.13889
"m","8288df56209a55930e9521b2393efc1b",295,360,760,121.3658,242.73159,0.4444,0.00393,0,0,0,20.25,42.25
"m","e4871f665fbd35516297cf3a2a251516",230,360,740,147.41353,1621.54874,1.1405,1,0,0.65918,0.65918,497.83472,5363.86777
"m","fc56601fd2b8208d87e83d9e27b676c2",400,320,568,361.01247,361.01247,0.90254,1,0,11.5,11.5,0,0
"m","53b64167ddfe244f4382d0ab43e36753",301.9,375,667,49.72365,497.23646,0.43417,0,0.02344,34.62424,34.62424,1505.24001,248821.69001
"m","53b64167ddfe244f4382d0ab43e36753",0,375,667,1591.34221,3182.68441,0,0,0.00313,38.47138,38.47138,0,0
"m","8288df56209a55930e9521b2393efc1b",255.61539,360,760,91.01199,1183.15576,0.43712,0.00393,0,0,0,213.56214,1268.17752
"m","93646a72e6b2080d19a211e210265e16",690.22581,360,640,110.94044,3439.15362,0.38586,1,0,0,0,533.00313,2201.79189
"m","ampwC9KIQaE_tAL_wXd9ubTw",73,360,640,107.63892,645.83352,0.09307,1,0,2.66474,2.66474,6858.33334,128.33334
"m","fc56601fd2b8208d87e83d9e27b676c2",427.5,320,568,327.91653,655.83305,1.15553,1,0,11.5,11.5,289,552.25
"m","c6a8d31efa3400852d685dbeb7395e49",109.41667,375,667,34.66639,415.99658,0.37493,0,0.00876,25.64759,25.64759,11559.13889,132486.22223
"m","8288df56209a55930e9521b2393efc1b",0,360,760,38.91016,77.82031,0,0.00393,0,0,0,0,0
"m","93646a72e6b2080d19a211e210265e16",167,360,640,106.93676,320.81028,0.95022,1,0,0,0,6,98
"m","1557826955443839874",198.68,360,740,100.69905,2517.47622,0.53788,1,0,0.26,0.26,740.8,1328.34241
"m","1557826955443839874",271.2,360,740,82.5324,412.66196,0.5341,1,0,0.25,0.25,187.76,4420.8
"m","93646a72e6b2080d19a211e210265e16",883.2,360,640,114.67055,2293.41088,0.33958,1,0,0,0,342.54001,3128.29
